time,t_er_arm1,t_dot_er_arm1,t_er_arm2,t_dot_er_arm2
0.001000, -2.827435, -0.001126,2.827434, 0.000186
0.002000, -2.823888, 7.094618,2.826164, -2.539513
0.003000, -2.814323, 12.034640,2.822524, -4.741177
0.004000, -2.800534, 15.544129,2.816798, -6.709414
0.005000, -2.783718, 18.087689,2.809191, -8.505851
0.006000, -2.764689, 19.970001,2.799853, -10.169396
0.007000, -2.744007, 21.394268,2.788905, -11.726100
0.008000, -2.722061, 22.497689,2.776445, -13.194272
0.009000, -2.699125, 23.373777,2.762554, -14.587294
0.010000, -2.675395, 24.086740,2.747303, -15.915263
0.011000, -2.651011, 24.680946,2.730752, -17.186007
0.012000, -2.626077, 25.187230,2.712957, -18.405747
0.013000, -2.600670, 25.627139,2.693964, -19.579536
0.014000, -2.574848, 26.015827,2.673818, -20.711560
0.015000, -2.548658, 26.364030,2.652560, -21.805359
0.016000, -2.522137, 26.679418,2.630225, -22.863980
0.017000, -2.495313, 26.967538,2.606848, -23.890083
0.018000, -2.468213, 27.232454,2.582460, -24.886028
0.019000, -2.440858, 27.477201,2.557090, -25.853932
0.020000, -2.413268, 27.704089,2.530765, -26.795712
0.021000, -2.385458, 27.914922,2.503511, -27.713119
0.022000, -2.357445, 28.111146,2.475350, -28.607763
0.023000, -2.329243, 28.293950,2.446306, -29.481130
0.024000, -2.300863, 28.464342,2.416398, -30.334597
0.025000, -2.272320, 28.623191,2.385646, -31.169443
0.026000, -2.243622, 28.771269,2.354068, -31.986856
0.027000, -2.214782, 28.909267,2.321681, -32.787942
0.028000, -2.185809, 29.037814,2.288500, -33.573730
0.029000, -2.156711, 29.157485,2.254540, -34.345172
0.030000, -2.127498, 29.268812,2.219816, -35.103153
0.031000, -2.098177, 29.372283,2.184340, -35.848487
0.032000, -2.068757, 29.468347,2.148125, -36.581925
0.033000, -2.039244, 29.557416,2.111182, -37.304148
0.034000, -2.009645, 29.639865,2.073522, -38.015777
0.035000, -1.979968, 29.716031,2.035156, -38.717364
0.036000, -1.950216, 29.786214,1.996092, -39.409398
0.037000, -1.920407, 29.833448,1.956352, -40.070206
0.038000, -1.890584, 29.812154,1.915999, -40.635722
0.039000, -1.860805, 29.746338,1.875125, -41.113980
0.040000, -1.831106, 29.650519,1.833812, -41.510555
0.041000, -1.801514, 29.533527,1.792142, -41.829477
0.042000, -1.772047, 29.400817,1.750191, -42.073825
0.043000, -1.742719, 29.255860,1.708031, -42.246086
0.044000, -1.713540, 29.100980,1.665733, -42.348401
0.045000, -1.684521, 28.937840,1.623368, -42.382717
0.046000, -1.655668, 28.767744,1.581001, -42.350889
