time,eye_theta_error_l,eye_theta_error_r
0.191000,-0.777524,-0.748977
0.192000,-0.777524,-0.748977
0.193000,-0.777524,-0.748977
0.194000,-0.777524,-0.748977
0.195000,-0.777524,-0.748977
0.196000,-0.623199,-0.564198
0.197000,-0.623199,-0.564198
0.198000,-0.623199,-0.564198
0.199000,-0.623199,-0.564198
0.200000,-0.623199,-0.564198
0.201000,-0.200399,-0.177790
0.202000,-0.200399,-0.177790
0.203000,-0.200399,-0.177790
0.204000,-0.200399,-0.177790
0.205000,-0.200399,-0.177790
0.206000,0.000000,0.007812
0.207000,0.000000,0.007812
0.208000,0.000000,0.007812
0.209000,0.000000,0.007812
0.210000,0.000000,0.007812
0.211000,0.046841,0.039043
0.212000,0.046841,0.039043
0.213000,0.046841,0.039043
0.214000,0.046841,0.039043
0.215000,0.046841,0.039043
0.216000,0.039043,0.039043
0.217000,0.039043,0.039043
0.218000,0.039043,0.039043
0.219000,0.039043,0.039043
0.220000,0.039043,0.039043
0.221000,0.023433,0.031240
0.222000,0.023433,0.031240
0.223000,0.023433,0.031240
0.224000,0.023433,0.031240
0.225000,0.023433,0.031240
0.226000,0.039043,0.031240
0.227000,0.039043,0.031240
0.228000,0.039043,0.031240
0.229000,0.039043,0.031240
0.230000,0.039043,0.031240
0.231000,0.031240,0.039043
0.232000,0.031240,0.039043
0.233000,0.031240,0.039043
0.234000,0.031240,0.039043
0.235000,0.031240,0.039043
0.236000,0.031240,0.039043
0.237000,0.031240,0.039043
0.238000,0.031240,0.039043
0.239000,0.031240,0.039043
0.240000,0.031240,0.039043
0.241000,0.031240,0.039043
0.242000,0.031240,0.039043
0.243000,0.031240,0.039043
0.244000,0.031240,0.039043
0.245000,0.031240,0.039043
0.246000,0.039043,0.039043
0.247000,0.039043,0.039043
0.248000,0.039043,0.039043
0.249000,0.039043,0.039043
0.250000,0.039043,0.039043
0.251000,0.039043,0.046841
0.252000,0.039043,0.046841
0.253000,0.039043,0.046841
0.254000,0.039043,0.046841
0.255000,0.039043,0.046841
0.256000,0.039043,0.046841
0.257000,0.039043,0.046841
0.258000,0.039043,0.046841
0.259000,0.039043,0.046841
0.260000,0.039043,0.046841
0.261000,0.039043,0.046841
0.262000,0.039043,0.046841
0.263000,0.039043,0.046841
0.264000,0.039043,0.046841
0.265000,0.039043,0.046841
0.266000,0.046841,0.046841
0.267000,0.046841,0.046841
0.268000,0.046841,0.046841
0.269000,0.046841,0.046841
0.270000,0.046841,0.046841
0.271000,0.046841,0.046841
0.272000,0.046841,0.046841
0.273000,0.046841,0.046841
0.274000,0.046841,0.046841
0.275000,0.046841,0.046841
0.276000,0.046841,0.054633
0.277000,0.046841,0.054633
0.278000,0.046841,0.054633
0.279000,0.046841,0.054633
0.280000,0.046841,0.054633
0.281000,0.039043,0.046841
0.282000,0.039043,0.046841
0.283000,0.039043,0.046841
0.284000,0.039043,0.046841
0.285000,0.039043,0.046841
0.286000,0.046841,0.054633
0.287000,0.046841,0.054633
0.288000,0.046841,0.054633
0.289000,0.046841,0.054633
0.290000,0.046841,0.054633
0.291000,0.054633,0.046841
0.292000,0.054633,0.046841
0.293000,0.054633,0.046841
0.294000,0.054633,0.046841
0.295000,0.054633,0.046841
0.296000,0.054633,0.054633
0.297000,0.054633,0.054633
0.298000,0.054633,0.054633
