time,base_err
0.000000,3.779729
0.001000,3.781264
0.002000,3.783111
0.003000,3.785146
0.004000,3.787305
0.005000,3.789556
0.006000,3.791881
0.007000,3.794270
0.008000,3.796719
0.009000,3.799224
0.010000,3.801782
0.011000,3.804392
0.012000,3.807053
0.013000,3.809762
0.014000,3.812520
0.015000,3.815324
0.016000,3.818175
0.017000,3.821070
0.018000,3.824009
0.019000,3.826990
0.020000,3.830014
0.021000,3.833079
0.022000,3.836185
0.023000,3.839329
0.024000,3.842513
0.025000,3.845734
0.026000,3.848993
0.027000,3.852288
0.028000,3.855619
0.029000,3.858985
0.030000,3.862385
0.031000,3.865819
0.032000,3.869286
0.033000,3.872786
0.034000,3.876317
0.035000,3.879880
0.036000,3.883474
0.037000,3.887098
0.038000,3.890751
0.039000,3.894434
0.040000,3.898145
0.041000,3.901884
0.042000,3.905650
0.043000,3.909444
0.044000,3.913264
0.045000,3.917110
0.046000,3.920982
0.047000,3.924879
0.048000,3.928801
0.049000,3.932747
0.050000,3.936717
0.051000,3.940710
0.052000,3.944726
0.053000,3.948765
0.054000,3.952825
0.055000,3.956908
0.056000,3.961011
0.057000,3.965136
0.058000,3.969281
0.059000,3.973447
0.060000,3.977632
0.061000,3.981836
0.062000,3.986060
0.063000,3.990302
0.064000,3.994562
0.065000,3.998841
0.066000,4.003137
0.067000,4.007450
0.068000,4.011780
0.069000,4.016127
0.070000,4.020490
0.071000,4.024869
0.072000,4.029264
0.073000,4.033674
0.074000,4.038099
0.075000,4.042538
0.076000,4.046992
0.077000,4.051460
0.078000,4.055941
0.079000,4.060436
0.080000,4.064944
0.081000,4.069465
0.082000,4.073999
0.083000,4.078545
0.084000,4.083102
0.085000,4.087672
0.086000,4.092253
0.087000,4.096845
0.088000,4.101448
0.089000,4.106061
0.090000,4.110685
0.091000,4.115319
0.092000,4.119963
0.093000,4.124617
0.094000,4.129279
0.095000,4.133951
0.096000,4.138632
0.097000,4.143321
0.098000,4.148019
0.099000,4.152724
0.100000,4.157438
0.101000,1.413266
0.102000,1.415882
0.103000,3.872449
0.104000,3.876652
0.105000,3.881147
0.106000,3.885800
0.107000,3.890543
0.108000,3.895342
0.109000,3.900180
0.110000,3.905046
0.111000,3.909937
0.112000,3.914848
0.113000,3.919778
0.114000,3.924726
0.115000,3.929691
0.116000,3.934671
0.117000,3.939667
0.118000,3.944676
0.119000,3.949700
0.120000,3.954736
0.121000,3.959785
0.122000,3.964846
0.123000,3.969919
0.124000,3.975002
0.125000,3.980096
0.126000,3.985200
0.127000,3.990314
0.128000,3.995437
0.129000,4.000568
0.130000,4.005709
0.131000,4.010857
0.132000,4.016013
0.133000,4.021177
0.134000,4.026347
0.135000,4.031524
0.136000,4.036708
0.137000,4.041898
0.138000,4.047094
0.139000,4.052296
0.140000,4.057503
0.141000,4.062715
0.142000,4.067931
0.143000,4.073153
0.144000,4.078378
0.145000,4.083608
0.146000,4.088842
0.147000,4.094079
0.148000,4.099319
0.149000,4.104563
0.150000,4.109810
0.151000,4.115059
0.152000,4.120312
0.153000,4.125566
0.154000,4.130823
0.155000,4.136081
0.156000,4.141342
0.157000,4.146604
0.158000,4.151867
0.159000,4.157132
0.160000,4.162397
0.161000,4.167664
0.162000,4.172931
0.163000,4.178199
0.164000,4.183467
0.165000,4.188735
0.166000,4.194003
0.167000,4.199272
0.168000,4.204540
0.169000,4.209807
0.170000,4.215074
0.171000,4.220340
0.172000,4.225605
0.173000,4.230869
0.174000,4.236132
0.175000,4.241394
0.176000,4.246654
0.177000,4.251912
0.178000,4.257169
0.179000,4.262424
0.180000,4.267677
0.181000,4.272927
0.182000,4.278175
0.183000,4.283421
0.184000,4.288665
0.185000,4.293905
0.186000,4.299143
0.187000,4.304378
0.188000,4.309609
0.189000,4.314838
0.190000,4.320063
0.191000,4.325285
0.192000,4.330503
0.193000,4.335718
0.194000,4.340929
0.195000,4.346136
0.196000,4.351339
0.197000,4.356538
0.198000,4.361732
0.199000,4.366923
0.200000,4.372109
0.201000,4.377290
0.202000,4.382467
0.203000,4.387639
0.204000,4.490981
