time,base_heading,base_posX,base_posY,ball_posX,ball_posY,armLX,armLY,armRX,armRY
0.0000,2.2089,-3.0000,0.0000,0.0000,0.0000,-2.7434,0.0338,-2.7434,-0.0338
0.0010,2.2089,-3.0000,-0.0000,0.0000,0.0000,-2.7432,0.0352,-2.7436,-0.0324
0.0020,2.2089,-3.0000,-0.0000,0.0000,0.0000,-2.7425,0.0353,-2.7443,-0.0323
0.0030,2.2089,-3.0000,-0.0000,0.0000,0.0000,-2.7420,0.0354,-2.7448,-0.0322
0.0040,2.2089,-3.0000,-0.0000,0.0000,0.0000,-2.7416,0.0356,-2.7452,-0.0320
0.0050,2.2089,-3.0000,0.0000,0.0000,0.0000,-2.7413,0.0358,-2.7455,-0.0318
0.0060,2.2089,-3.0000,0.0000,0.0000,0.0000,-2.7411,0.0361,-2.7457,-0.0315
0.0070,2.2089,-3.0000,0.0000,0.0000,0.0000,-2.7411,0.0364,-2.7457,-0.0312
0.0080,2.2089,-3.0000,0.0000,0.0000,0.0000,-2.7411,0.0368,-2.7457,-0.0308
0.0090,2.2089,-3.0000,0.0000,0.0000,0.0000,-2.7412,0.0373,-2.7455,-0.0304
0.0100,2.2089,-2.9999,0.0000,0.0000,0.0000,-2.7414,0.0378,-2.7453,-0.0299
0.0110,2.2089,-2.9999,0.0000,0.0000,0.0000,-2.7417,0.0383,-2.7450,-0.0294
0.0120,2.2089,-2.9999,0.0000,0.0000,0.0000,-2.7420,0.0389,-2.7447,-0.0288
0.0130,2.2089,-2.9998,0.0000,0.0000,0.0000,-2.7424,0.0395,-2.7443,-0.0282
0.0140,2.2089,-2.9997,0.0000,0.0000,0.0000,-2.7428,0.0403,-2.7438,-0.0275
0.0150,2.2089,-2.9996,0.0000,0.0000,0.0000,-2.7433,0.0410,-2.7433,-0.0267
0.0160,2.2089,-2.9995,0.0000,0.0000,0.0000,-2.7437,0.0418,-2.7427,-0.0259
0.0170,2.2089,-2.9994,0.0001,0.0000,0.0000,-2.7443,0.0427,-2.7421,-0.0250
0.0180,2.2089,-2.9993,0.0001,0.0000,0.0000,-2.7448,0.0436,-2.7414,-0.0241
0.0190,2.2089,-2.9991,0.0001,0.0000,0.0000,-2.7454,0.0446,-2.7407,-0.0231
0.0200,2.2089,-2.9989,0.0001,0.0000,0.0000,-2.7460,0.0457,-2.7400,-0.0220
0.0210,2.2089,-2.9987,0.0002,0.0000,0.0000,-2.7466,0.0468,-2.7392,-0.0209
0.0220,2.2089,-2.9985,0.0002,0.0000,0.0000,-2.7472,0.0479,-2.7384,-0.0197
0.0230,2.2089,-2.9983,0.0002,0.0000,0.0000,-2.7478,0.0491,-2.7375,-0.0185
0.0240,2.2089,-2.9980,0.0003,0.0000,0.0000,-2.7484,0.0504,-2.7367,-0.0171
0.0250,2.2089,-2.9977,0.0003,0.0000,0.0000,-2.7490,0.0517,-2.7358,-0.0158
0.0260,2.2089,-2.9974,0.0004,0.0000,0.0000,-2.7496,0.0530,-2.7349,-0.0143
0.0270,2.2089,-2.9971,0.0005,0.0000,0.0000,-2.7503,0.0544,-2.7340,-0.0128
0.0280,2.2089,-2.9968,0.0005,0.0000,0.0000,-2.7509,0.0559,-2.7331,-0.0113
0.0290,2.2089,-2.9965,0.0006,0.0000,0.0000,-2.7515,0.0574,-2.7321,-0.0096
0.0300,2.2089,-2.9962,0.0007,0.0000,0.0000,-2.7521,0.0590,-2.7312,-0.0079
0.0310,2.2089,-2.9960,0.0007,0.0000,0.0000,-2.7528,0.0605,-2.7303,-0.0062
0.0320,2.2089,-2.9957,0.0008,0.0000,0.0000,-2.7534,0.0622,-2.7294,-0.0044
0.0330,2.2089,-2.9955,0.0009,0.0000,0.0000,-2.7541,0.0638,-2.7285,-0.0025
0.0340,2.2089,-2.9953,0.0009,0.0000,0.0000,-2.7548,0.0655,-2.7276,-0.0006
0.0350,2.2089,-2.9952,0.0010,0.0000,0.0000,-2.7555,0.0673,-2.7268,0.0013
0.0360,2.2089,-2.9950,0.0010,0.0000,0.0000,-2.7563,0.0690,-2.7260,0.0033
0.0370,2.2089,-2.9949,0.0011,0.0000,0.0000,-2.7570,0.0708,-2.7252,0.0054
0.0380,2.2089,-2.9948,0.0011,0.0000,0.0000,-2.7578,0.0726,-2.7244,0.0075
0.0390,2.2089,-2.9946,0.0011,0.0000,0.0000,-2.7586,0.0745,-2.7237,0.0097
0.0400,2.2089,-2.9945,0.0012,0.0000,0.0000,-2.7595,0.0764,-2.7230,0.0119
0.0410,2.2089,-2.9944,0.0012,0.0000,0.0000,-2.7603,0.0783,-2.7223,0.0142
0.0420,2.2089,-2.9943,0.0012,0.0000,0.0000,-2.7612,0.0803,-2.7216,0.0165
0.0430,2.2089,-2.9943,0.0013,0.0000,0.0000,-2.7621,0.0822,-2.7210,0.0189
0.0440,2.2089,-2.9942,0.0013,0.0000,0.0000,-2.7631,0.0842,-2.7205,0.0213
0.0450,2.2089,-2.9941,0.0013,0.0000,0.0000,-2.7640,0.0863,-2.7200,0.0237
0.0460,2.2089,-2.9940,0.0014,0.0000,0.0000,-2.7650,0.0883,-2.7195,0.0262
0.0470,2.2089,-2.9940,0.0014,0.0000,0.0000,-2.7660,0.0904,-2.7190,0.0288
0.0480,2.2089,-2.9939,0.0014,0.0000,0.0000,-2.7670,0.0925,-2.7186,0.0314
0.0490,2.2089,-2.9938,0.0015,0.0000,0.0000,-2.7681,0.0946,-2.7183,0.0340
0.0500,2.2089,-2.9938,0.0015,0.0000,0.0000,-2.7691,0.0968,-2.7179,0.0366
0.0510,2.2089,-2.9937,0.0015,0.0000,0.0000,-2.7702,0.0989,-2.7177,0.0393
0.0520,2.2089,-2.9937,0.0016,0.0000,0.0000,-2.7714,0.1011,-2.7174,0.0421
0.0530,2.2089,-2.9936,0.0016,0.0000,0.0000,-2.7725,0.1033,-2.7172,0.0448
0.0540,2.2089,-2.9936,0.0016,0.0000,0.0000,-2.7737,0.1055,-2.7171,0.0476
0.0550,2.2089,-2.9935,0.0016,0.0000,0.0000,-2.7748,0.1077,-2.7170,0.0505
0.0560,2.2089,-2.9935,0.0017,0.0000,0.0000,-2.7760,0.1100,-2.7169,0.0533
0.0570,2.2089,-2.9934,0.0017,0.0000,0.0000,-2.7773,0.1122,-2.7169,0.0562
0.0580,2.2089,-2.9934,0.0017,0.0000,0.0000,-2.7785,0.1145,-2.7170,0.0591
0.0590,2.2089,-2.9933,0.0017,0.0000,0.0000,-2.7798,0.1168,-2.7171,0.0621
0.0600,2.2089,-2.9933,0.0018,0.0000,0.0000,-2.7811,0.1191,-2.7172,0.0650
0.0610,2.2089,-2.9933,0.0018,0.0000,0.0000,-2.7824,0.1214,-2.7174,0.0680
0.0620,2.2089,-2.9932,0.0018,0.0000,0.0000,-2.7838,0.1237,-2.7176,0.0710
0.0630,2.2089,-2.9932,0.0018,0.0000,0.0000,-2.7852,0.1260,-2.7179,0.0741
0.0640,2.2089,-2.9931,0.0019,0.0000,0.0000,-2.7866,0.1283,-2.7182,0.0771
0.0650,2.2089,-2.9931,0.0019,0.0000,0.0000,-2.7880,0.1306,-2.7186,0.0802
0.0660,2.2089,-2.9931,0.0019,0.0000,0.0000,-2.7895,0.1330,-2.7190,0.0833
0.0670,2.2089,-2.9930,0.0020,0.0000,0.0000,-2.7909,0.1353,-2.7195,0.0864
0.0680,2.2089,-2.9930,0.0020,0.0000,0.0000,-2.7925,0.1377,-2.7200,0.0895
0.0690,2.2089,-2.9929,0.0020,0.0000,0.0000,-2.7940,0.1400,-2.7206,0.0926
0.0700,2.2089,-2.9929,0.0020,0.0000,0.0000,-2.7955,0.1424,-2.7212,0.0957
0.0710,2.2089,-2.9929,0.0021,0.0000,0.0000,-2.7971,0.1447,-2.7219,0.0989
0.0720,2.2089,-2.9928,0.0021,0.0000,0.0000,-2.7987,0.1471,-2.7226,0.1020
0.0730,2.2089,-2.9928,0.0021,0.0000,0.0000,-2.8004,0.1494,-2.7234,0.1052
0.0740,2.2089,-2.9928,0.0022,0.0000,0.0000,-2.8021,0.1517,-2.7242,0.1083
0.0750,2.2089,-2.9927,0.0022,0.0000,0.0000,-2.8037,0.1541,-2.7251,0.1115
0.0760,2.2089,-2.9927,0.0023,0.0000,0.0000,-2.8055,0.1564,-2.7260,0.1147
0.0770,2.2089,-2.9926,0.0023,0.0000,0.0000,-2.8072,0.1588,-2.7270,0.1178
0.0780,2.2089,-2.9926,0.0023,0.0000,0.0000,-2.8090,0.1611,-2.7280,0.1210
0.0790,2.2089,-2.9925,0.0024,0.0000,0.0000,-2.8108,0.1634,-2.7291,0.1242
0.0800,2.2089,-2.9925,0.0024,0.0000,0.0000,-2.8126,0.1657,-2.7302,0.1273
0.0810,2.2089,-2.9924,0.0025,0.0000,0.0000,-2.8145,0.1680,-2.7314,0.1305
0.0820,2.2089,-2.9924,0.0025,0.0000,0.0000,-2.8163,0.1703,-2.7326,0.1336
0.0830,2.2089,-2.9923,0.0026,0.0000,0.0000,-2.8182,0.1726,-2.7338,0.1368
0.0840,2.2089,-2.9923,0.0027,0.0000,0.0000,-2.8202,0.1749,-2.7351,0.1399
0.0850,2.2089,-2.9922,0.0027,0.0000,0.0000,-2.8221,0.1772,-2.7365,0.1431
0.0860,2.2089,-2.9921,0.0028,0.0000,0.0000,-2.8241,0.1794,-2.7379,0.1462
0.0870,2.2089,-2.9921,0.0029,0.0000,0.0000,-2.8261,0.1817,-2.7393,0.1493
0.0880,2.2089,-2.9920,0.0030,0.0000,0.0000,-2.8281,0.1839,-2.7408,0.1524
0.0890,2.2089,-2.9919,0.0031,0.0000,0.0000,-2.8302,0.1862,-2.7423,0.1555
0.0900,2.2089,-2.9918,0.0032,0.0000,0.0000,-2.8322,0.1884,-2.7439,0.1586
0.0910,2.2089,-2.9918,0.0033,0.0000,0.0000,-2.8343,0.1906,-2.7455,0.1617
0.0920,2.2089,-2.9917,0.0034,0.0000,0.0000,-2.8364,0.1928,-2.7471,0.1647
0.0930,2.2089,-2.9916,0.0035,0.0000,0.0000,-2.8386,0.1950,-2.7488,0.1678
0.0940,2.2089,-2.9915,0.0036,0.0000,0.0000,-2.8407,0.1971,-2.7505,0.1708
0.0950,2.2089,-2.9914,0.0038,0.0000,0.0000,-2.8429,0.1993,-2.7523,0.1738
0.0960,2.2089,-2.9913,0.0039,0.0000,0.0000,-2.8451,0.2014,-2.7541,0.1768
0.0970,2.2089,-2.9912,0.0041,0.0000,0.0000,-2.8473,0.2035,-2.7560,0.1798
0.0980,2.2089,-2.9911,0.0042,0.0000,0.0000,-2.8496,0.2056,-2.7578,0.1827
0.0990,2.2089,-2.9910,0.0044,0.0000,0.0000,-2.8518,0.2077,-2.7598,0.1856
0.1000,2.2089,-2.9909,0.0045,0.0000,0.0000,-2.8541,0.2098,-2.7617,0.1885
0.1010,2.2089,-2.9908,0.0047,0.0000,0.0000,-2.8564,0.2118,-2.7637,0.1914
0.1020,2.2089,-2.9907,0.0049,0.0000,0.0000,-2.8587,0.2139,-2.7657,0.1943
0.1030,2.2089,-2.9906,0.0051,0.0000,0.0000,-2.8610,0.2159,-2.7678,0.1971
0.1040,2.2089,-2.9904,0.0053,0.0000,0.0000,-2.8634,0.2178,-2.7699,0.1999
0.1050,2.2089,-2.9903,0.0055,0.0000,0.0000,-2.8658,0.2198,-2.7720,0.2027
0.1060,2.2089,-2.9902,0.0057,0.0000,0.0000,-2.8681,0.2218,-2.7742,0.2055
0.1070,2.2089,-2.9901,0.0059,0.0000,0.0000,-2.8706,0.2237,-2.7763,0.2082
0.1080,2.2089,-2.9900,0.0061,0.0000,0.0000,-2.8730,0.2256,-2.7786,0.2109
0.1090,2.2089,-2.9899,0.0063,0.0000,0.0000,-2.8754,0.2275,-2.7808,0.2136
0.1100,2.2089,-2.9898,0.0065,0.0000,0.0000,-2.8779,0.2293,-2.7831,0.2162
0.1110,2.2089,-2.9897,0.0068,0.0000,0.0000,-2.8803,0.2312,-2.7854,0.2188
