time,base_heading,base_posX,base_posY,ball_posX,ball_posY
0.0000,2.2089,-3.0000,0.0000,0.0000,0.0000
0.0010,0.2523,-3.0000,-0.0000,2.1308,1.3228
0.0020,0.2569,-2.9997,0.0000,3.8051,1.7876
0.0030,0.2556,-2.9987,0.0000,3.7598,1.7664
0.0040,0.2519,-2.9970,0.0000,3.7049,1.7247
0.0050,0.2528,-2.9947,0.0000,3.6407,1.7141
0.0060,0.2526,-2.9918,0.0001,1.6251,1.1919
0.0070,0.2550,-2.9884,0.0001,4.2132,1.8777
0.0080,0.2483,-2.9846,0.0001,3.4547,1.6328
0.0090,0.2536,-2.9801,0.0002,2.8066,1.5001
0.0100,0.2568,-2.9753,0.0003,2.2956,1.3841
0.0110,0.2576,-2.9700,0.0003,1.8786,1.2775
0.0120,0.2560,-2.9644,0.0004,1.5323,1.1774
0.0130,0.2559,-2.9586,0.0005,2.3981,1.4021
0.0140,0.2541,-2.9524,0.0007,3.8884,1.7772
0.0150,0.2587,-2.9459,0.0008,1.9505,1.2964
0.0160,0.2539,-2.9389,0.0010,3.2994,1.6199
0.0170,0.2596,-2.9317,0.0012,3.1437,1.6147
0.0180,0.2530,-2.9240,0.0014,5.7687,2.2485
0.0190,0.2533,-2.9159,0.0016,3.2144,1.5883
0.0200,0.2560,-2.9073,0.0019,3.1626,1.5903
0.0210,0.2584,-2.8984,0.0021,3.1417,1.5988
0.0220,0.2606,-2.8892,0.0024,3.1160,1.6040
0.0230,0.2627,-2.8796,0.0028,3.0906,1.6082
0.0240,0.2568,-2.8697,0.0031,3.0886,1.5680
0.0250,0.2580,-2.8596,0.0035,3.0685,1.5680
0.0260,0.2590,-2.8491,0.0040,3.0492,1.5665
0.0270,0.2598,-2.8384,0.0044,3.0313,1.5645
0.0280,0.2605,-2.8273,0.0049,3.0148,1.5621
0.0290,0.2611,-2.8160,0.0054,2.9995,1.5596
0.0300,0.2578,-2.8045,0.0060,5.4740,2.1890
0.0310,0.2548,-2.7925,0.0066,3.1445,1.5530
0.0320,0.2625,-2.7802,0.0072,3.1471,1.5998
0.0330,0.2629,-2.7676,0.0079,3.1578,1.6024
0.0340,0.2633,-2.7547,0.0086,3.1601,1.6030
0.0350,0.2638,-2.7416,0.0093,3.1578,1.6024
0.0360,0.2642,-2.7283,0.0101,3.1530,1.6013
0.0370,0.2647,-2.7147,0.0109,3.1472,1.5998
0.0380,0.2652,-2.7010,0.0118,3.1412,1.5982
0.0390,0.2656,-2.6869,0.0127,3.1353,1.5966
0.0400,0.2661,-2.6727,0.0137,3.1299,1.5950
0.0410,0.2665,-2.6582,0.0147,3.1252,1.5935
0.0420,0.2669,-2.6436,0.0157,3.1211,1.5920
0.0430,0.2673,-2.6287,0.0168,3.1178,1.5906
0.0440,0.2677,-2.6136,0.0179,3.1152,1.5894
0.0450,0.2681,-2.5983,0.0191,3.1133,1.5882
0.0460,0.2685,-2.5829,0.0203,3.1121,1.5871
0.0470,0.2688,-2.5672,0.0216,3.1117,1.5861
0.0480,0.2692,-2.5513,0.0229,3.1119,1.5852
0.0490,0.2695,-2.5353,0.0243,3.1128,1.5843
0.0500,0.2698,-2.5191,0.0257,3.1144,1.5836
0.0510,0.2701,-2.5027,0.0271,3.1166,1.5829
0.0520,0.2704,-2.4861,0.0286,3.1194,1.5823
0.0530,0.2707,-2.4694,0.0302,3.1228,1.5818
0.0540,0.2709,-2.4525,0.0318,3.1268,1.5814
0.0550,0.2712,-2.4354,0.0335,3.1313,1.5810
0.0560,0.2714,-2.4182,0.0352,3.1364,1.5807
0.0570,0.2716,-2.4008,0.0369,3.1421,1.5805
0.0580,0.2718,-2.3833,0.0387,3.1482,1.5803
0.0590,0.2720,-2.3656,0.0406,3.1549,1.5802
0.0600,0.2721,-2.3477,0.0425,3.1620,1.5801
0.0610,0.2723,-2.3298,0.0445,3.1697,1.5801
0.0620,0.2724,-2.3117,0.0465,3.1778,1.5802
0.0630,0.2726,-2.2934,0.0486,3.1863,1.5803
0.0640,0.2727,-2.2750,0.0507,3.1953,1.5804
0.0650,0.2767,-2.2565,0.0529,2.0020,1.2622
0.0660,0.2769,-2.2379,0.0551,1.9355,1.2412
0.0670,0.2771,-2.2193,0.0574,4.7852,2.0495
