time,base_heading,base_posX,base_posY,ball_posX,ball_posY
0.0000,2.2089,-3.0000,0.0000,0.0000,0.0000
0.0010,0.2633,-3.0000,-0.0000,3.8417,1.8441
0.0020,0.2606,-2.9999,0.0000,2.1045,1.3611
0.0030,0.2594,-2.9995,0.0000,2.0711,1.3455
0.0040,0.2631,-2.9989,0.0000,2.0274,1.3537
0.0050,0.2602,-2.9981,0.0000,3.6374,1.7669
0.0060,0.2608,-2.9972,0.0000,5.7401,2.3316
0.0070,0.2604,-2.9960,0.0000,2.5894,1.4880
0.0080,0.2654,-2.9947,0.0001,3.7878,1.8437
0.0090,0.2567,-2.9933,0.0001,3.1340,1.6083
0.0100,0.2599,-2.9917,0.0001,2.5816,1.4819
0.0110,0.2605,-2.9900,0.0001,2.1276,1.3642
0.0120,0.2625,-2.9881,0.0002,3.2807,1.6849
0.0130,0.2626,-2.9862,0.0002,5.4471,2.2668
0.0140,0.2607,-2.9841,0.0003,2.7176,1.5213
0.0150,0.2648,-2.9820,0.0003,4.6228,2.0622
0.0160,0.2600,-2.9797,0.0004,2.3912,1.4290
0.0170,0.2614,-2.9774,0.0004,4.1139,1.8973
0.0180,0.2657,-2.9749,0.0005,3.9814,1.8939
0.0190,0.2658,-2.9724,0.0006,2.0965,1.3806
0.0200,0.2574,-2.9697,0.0007,3.6797,1.7511
0.0210,0.2594,-2.9670,0.0008,3.5973,1.7430
0.0220,0.2610,-2.9642,0.0009,3.5460,1.7398
0.0230,0.2624,-2.9613,0.0010,3.5135,1.7398
0.0240,0.2636,-2.9583,0.0011,3.4919,1.7417
0.0250,0.2647,-2.9553,0.0013,3.4768,1.7447
0.0260,0.2658,-2.9522,0.0014,3.4657,1.7483
0.0270,0.2668,-2.9490,0.0016,3.4570,1.7525
0.0280,0.2678,-2.9457,0.0017,3.4499,1.7569
0.0290,0.2689,-2.9423,0.0019,3.4439,1.7616
0.0300,0.2660,-2.9389,0.0021,1.8627,1.3105
0.0310,0.2667,-2.9354,0.0023,1.7558,1.2841
0.0320,0.2634,-2.9319,0.0025,3.0485,1.6150
0.0330,0.2636,-2.9282,0.0027,2.9803,1.5970
0.0340,0.2636,-2.9246,0.0029,2.9413,1.5860
0.0350,0.2636,-2.9208,0.0031,2.9193,1.5791
0.0360,0.2635,-2.9170,0.0034,2.9073,1.5745
0.0370,0.2634,-2.9131,0.0036,2.9012,1.5714
0.0380,0.2633,-2.9091,0.0039,2.8987,1.5692
0.0390,0.2670,-2.9051,0.0042,5.3573,2.2643
0.0400,0.2673,-2.9011,0.0045,1.6524,1.2513
0.0410,0.2636,-2.8970,0.0048,2.9392,1.5801
0.0420,0.2636,-2.8928,0.0051,2.9248,1.5754
0.0430,0.2675,-2.8885,0.0055,5.3751,2.2699
0.0440,0.2677,-2.8843,0.0058,1.6699,1.2552
0.0450,0.2641,-2.8799,0.0062,2.9531,1.5838
0.0460,0.2641,-2.8755,0.0065,2.9380,1.5789
0.0470,0.2680,-2.8711,0.0069,5.3797,2.2724
0.0480,0.2682,-2.8666,0.0073,1.6863,1.2588
0.0490,0.2646,-2.8620,0.0077,2.9669,1.5873
0.0500,0.2646,-2.8575,0.0082,2.9524,1.5825
0.0510,0.2645,-2.8528,0.0086,2.9458,1.5794
0.0520,0.2722,-2.8481,0.0090,2.9239,1.6204
0.0530,0.2650,-2.8434,0.0095,2.9421,1.5794
0.0540,0.2650,-2.8386,0.0100,2.9452,1.5795
0.0550,0.2727,-2.8338,0.0105,2.9292,1.6223
0.0560,0.2655,-2.8289,0.0110,2.9507,1.5825
0.0570,0.2655,-2.8240,0.0115,2.9560,1.5832
0.0580,0.2654,-2.8191,0.0121,2.9614,1.5833
0.0590,0.2731,-2.8141,0.0126,2.9476,1.6263
0.0600,0.2658,-2.8091,0.0132,2.9702,1.5865
0.0610,0.2658,-2.8040,0.0138,2.9765,1.5872
0.0620,0.2696,-2.7989,0.0144,1.6554,1.2451
0.0630,0.2697,-2.7938,0.0150,5.0971,2.1964
0.0640,0.2660,-2.7887,0.0156,2.9525,1.5801
0.0650,0.2699,-2.7835,0.0162,1.6583,1.2449
0.0660,0.2700,-2.7782,0.0169,5.0871,2.1939
0.0670,0.2664,-2.7730,0.0175,2.9617,1.5822
0.0680,0.2702,-2.7677,0.0182,1.6731,1.2480
0.0690,0.2703,-2.7623,0.0189,5.0998,2.1973
0.0700,0.2666,-2.7570,0.0196,2.9784,1.5860
0.0710,0.2704,-2.7516,0.0204,1.6910,1.2517
0.0720,0.2705,-2.7462,0.0211,5.1185,2.2019
0.0730,0.2668,-2.7407,0.0219,2.9974,1.5900
0.0740,0.2744,-2.7352,0.0226,3.0072,1.6393
0.0750,0.2671,-2.7297,0.0234,3.0427,1.6028
0.0760,0.2709,-2.7242,0.0242,1.7340,1.2623
0.0770,0.2710,-2.7187,0.0250,5.1747,2.2179
0.0780,0.2712,-2.7131,0.0259,1.7267,1.2601
0.0790,0.2674,-2.7075,0.0267,2.9101,1.5656
0.0800,0.2711,-2.7019,0.0275,5.1065,2.1977
0.0810,0.2712,-2.6962,0.0284,1.7297,1.2589
0.0820,0.2712,-2.6906,0.0293,5.1440,2.2080
0.0830,0.2714,-2.6849,0.0302,1.7473,1.2634
0.0840,0.2715,-2.6792,0.0311,5.1673,2.2150
0.0850,0.2716,-2.6734,0.0320,1.7622,1.2672
